code,name,description,category,url,status,public-database
GB-SHPE,,,GB,https://social-housing-provider-eng.alpha.openregister.org/,active,
GB-UKPRN,,,GB,https://www.ukrlp.co.uk/,active,
GE-NAPR,,,GE,https://enreg.reestri.gov.ge/main.php?m=new_index,active,
GG-RCE,,,GG,http://www.guernseyregistry.com/,active,
GH-DSW,,,GH,http://mogcsp.gov.gh/department-of-social-developments/,active,
HK-CR,,,HK,https://www.icris.cr.gov.hk/csci/,active,
HR-MBS,,,HR,https://sudreg.pravosudje.hr/registar,active,
HR-OIB,,,HR,https://sudreg.pravosudje.hr/registar/f?p=150:1,active,
HU-AFA,,,HU,http://www.e-cegjegyzek.hu/?cegkereses,active,
ID-KDN,,,ID,http://www.kemendagri.go.id/,withdrawn,
ID-KHH,,,ID,http://www.kemenkumham.go.id/,active,
ID-KLN,,,ID,http://www.kemlu.go.id/,active,
ID-PRO,,,ID,http://www.satulayanan.net/layanan/pendaftaran-lsm-atau-ormas/perizinan-lsm-atau-ormas-baru,withdrawn,
ID-SMR,,,ID,http://www.smeru.or.id/en,active,
IE-CHY,,,IE,https://www.charitiesregulatoryauthority.ie/,active,
IE-CRO,,,IE,http://www.cro.ie/,active,
IL-ROC,,,IL,http://www.justice.gov.il/Units/RasutHataagidim/units/RashamHachvarot/Pages/default.aspx,active,
IM-CR,,,IM,https://www.gov.im/categories/business-and-industries/companies-registry,active,
IM-GR,,,IM,http://www.gov.im/registries/courts/charities/,active,
IN-MCA,,,IN,http://www.mca.gov.in/,active,
IN-MHA,,,IN,https://fcraonline.nic.in/,active,
IT-CF,,,IT,http://www.registroimprese.it/,active,
IT-RI,,,IT,http://www.registroimprese.it/,withdrawn,
JE-FSC,,,JE,http://www.jerseyfsc.org/index.asp,active,
JE-OAC,,,JE,http://www.jerseyoverseasaid.org.je/,withdrawn,
JO-CCD,,,JO,http://www.ccd.gov.jo/,active,
JO-MSD,,,JO,http://www.societies.gov.jo/,active,
JP-JCN,,,JP,http://www.houjin-bangou.nta.go.jp/,active,
KE-NCB,,,KE,http://www.ngobureau.or.ke/,active,
KE-RCO,,,KE,http://www.attorney-general.go.ke/,active,
KE-RSO,,,KE,http://www.attorney-general.go.ke/,withdrawn,
KG-ID,,,KG,http://register.minjust.gov.kg/register/SearchAction.seam?logic=and&cid=204,active,
KG-INN,,,KG,http://register.minjust.gov.kg/register/SearchAction.seam?logic=and&cid=205,active,
KZ-BIN,,,KZ,http://kgd.gov.kz/en/services/taxpayer_search/legal_entity,active,
LB-CR,,,LB,http://cr.justice.gov.lb/desc/desc.aspx,active,
LB-MOI,,,LB,http://www.interior.gov.lb/,active,
LS-LCN,,,LS,http://www.lcn.org.ls/,withdrawn,
LT-PVM,,,LT,http://www.registrucentras.lt/jar/index_en.php,active,
LT-RC,,,LT,http://www.registrucentras.lt/jar/index_en.php,active,
LV-RE,,,LV,http://www.ur.gov.lv/,active,
MD-IDNO,,,MD,http://www.idno.md/,active,
ML-CCIM,,,ML,http://www.cci.ml/,active,
ML-NIF,,,ML,http://demarchesadministratives.gouv.ml/demarches/afficher/Numero-d-Identification-Fiscale-NIF,active,
MM-MHA,,,MM,,active,
MU-CR,,,MU,http://companies.govmu.org/,active,
MW-CNM,,,MW,http://www.congoma.mw,withdrawn,
MW-MRA,,,MW,http://www.mra.mw/,withdrawn,
MW-NBM,,,MW,http://ngoboardmalawi.mw/directory.php,active,
MW-RG,,,MW,https://www.registrargeneral.gov.mw/index.html,active,
MX-CPA,,,MX,http://www.transparenciapresupuestaria.gob.mx/work/models/PTP/DatosAbiertos/Metadatos/catalogos_presupuestarios.xlsx,active,
MX-RFC,,,MX,https://portalsat.plataforma.sat.gob.mx/ConsultaRFC/,active,
MY-SSM,,,MY,http://www.ssm.com.my/ms,active,
MZ-CR,,,MZ,http://www.portaldogoverno.gov.mz/Empresas/Registos/Registo-de-Sociedades,active,
MZ-MOJ,,,MZ,http://www.commonwealthofnations.org/sectors-mozambique/civil_society/,active,
MZ-NUIT,,,MZ,http://www.at.gov.mz/eng/Internacional-Trade/FAQ-s/NUIT,active,
NG-BPP,,,NG,http://federalcontractors.bpp.gov.ng/,active,
NG-CAC,,,NG,http://new.cac.gov.ng/home/,active,
NL-KVK,,,NL,https://www.kvk.nl/english/,active,
NL-OWMS,,,NL,http://standaarden.overheid.nl/owms/4.0/doc/waardelijsten,active,
NO-BRC,,,NO,http://www.brreg.no/,active,
NP-CRO,,,NP,http://www.cro.gov.np/,active,
NP-SWC,,,NP,http://www.swc.org.np/,active,
PE-SUNARP,,,PE,https://www.sunarp.gob.pe/dn-personas-juridicas.asp,active,
PH-SEC,,,PH,http://www.sec.gov.ph/,active,
PK-PCP,,,PK,http://pcp.org.pk/index.php,withdrawn,
PK-VSWA,,,PK,http://social_welfare.kp.gov.pk/,active,
PL-KRS,,,PL,https://ems.ms.gov.pl/krs/wyszukiwaniepodmiotu,active,
PL-NIP,,,PL,https://pl.wikipedia.org/wiki/NIP,active,
PL-REGON,,,PL,"http://stat.gov.pl/en/metainformations/glossary/terms-used-in-official-statistics/2963,term.html",active,
PS-MOI,,,PS,http://www.moi.pna.ps/NGOs/List,active,
PT-NIPPC,,,PT,https://www.portaldocidadao.pt/,active,
PY-PGN,,,PY,http://www.hacienda.gov.py/web-hacienda/archivo.php?a=keke1117221b211c20db1d141bdedcdde2db1019ke2016131610ke111c1fdedcdde2da1d1113ke0ac&x=6262001&y=keke0ac,active,
PY-RUC,,,PY,http://www.hacienda.gov.py/web-hacienda/index.php?c=77,active,
RO-CUI,,,RO,http://www.onrc.ro/index.php/ro/,active,
