code,name,description,category,url,status
1,Agrovoc,"A controlled vocabulary covering all areas of interest of the Food and Agriculture Organization (FAO) of the United Nations, including food, nutrition, agriculture, fisheries, forestry, environment etc.",,http://agrovoc.uniroma2.it/agrovoc/agrovoc/en/,active
99,Reporting Organisation,,,,active
